request,account,dvr,start_time,end_time,source,received,uploaded,timestamp,is_retry,videos_details
002000007462205403520240926133731461,3-170,0000074622054035,"2024-09-26 12:20","2024-09-26 12:25",API,6,6,"2024-09-26 13:37:40",0,6
002000007462311418620240926133556815,3-170,0000074623114186,"2024-09-26 12:20","2024-09-26 12:25",API,0,0,"2024-09-26 13:36:07",0,0
001000007462321201120240926125117000,3-170,0000074623212011,"2024-09-26 12:50","2024-09-26 12:50",Vehicle,19,19,"2024-09-26 13:00:00",0,19
002000007462317103620240926125801671,3-253,0000074623171036,"2024-09-26 12:06","2024-09-26 12:08",API,2,2,"2024-09-26 12:58:07",0,2
002000007462317103620240926125753114,3-253,0000074623171036,"2024-09-26 12:06","2024-09-26 12:08",API,2,0,"2024-09-26 12:58:01",0,2
001000007462317112420240926124307000,3-250,0000074623171124,"2024-09-26 12:41","2024-09-26 12:41",Vehicle,4,4,"2024-09-26 12:45:59",0,4
001000007462310507420240926022734000,3-170,0000074623105074,"2024-09-26 01:22","2024-09-26 01:22",Vehicle,761,761,"2024-09-26 12:41:49",0,761
002000007462317103620240926122917821,3-253,0000074623171036,"2024-09-26 12:05","2024-09-26 12:07",API,2,2,"2024-09-26 12:29:31",0,2
001000007462321201120240926121811000,3-170,0000074623212011,"2024-09-26 12:16","2024-09-26 12:16",Vehicle,2,2,"2024-09-26 12:20:42",0,2
001000007462316538120240926121418000,3-250,0000074623165381,"2024-09-26 12:12","2024-09-26 12:12",Vehicle,4,4,"2024-09-26 12:20:20",0,4
001000007462321201120240926121306000,3-170,0000074623212011,"2024-09-26 11:57","2024-09-26 11:57",Vehicle,2,1,"2024-09-26 12:18:38",0,2
001000007462305104220240926102801000,3-309,0000074623051042,"2024-09-25 18:27","2024-09-25 18:27",Vehicle,30,27,"2024-09-26 11:20:08",0,30
001000007462319208220240925212758000,3-273,0000074623192082,"2024-09-25 21:11","2024-09-25 21:11",Vehicle,27,26,"2024-09-26 01:22:02",0,27
001000007462316539120240923011221000,3-303,0000074623165391,"2024-09-23 00:37","2024-09-23 00:37",Vehicle,2772,14,"2024-09-26 00:50:08",0,2772
001000007462310507420240925220836000,3-170,0000074623105074,"2024-09-25 22:21","2024-09-25 22:21",Vehicle,48,48,"2024-09-26 00:04:02",0,48
001000007462213200920240925234615000,3-245,0000074622132009,"2024-09-25 22:53","2024-09-25 22:53",Vehicle,1,1,"2024-09-25 23:48:17",0,1
001000007462319208320240925212836000,3-273,0000074623192083,"2024-09-25 21:12","2024-09-25 21:12",Vehicle,25,14,"2024-09-25 21:33:36",0,25
001000007462317224120240918063941000,3-250,0000074623172241,"2024-09-18 06:06","2024-09-18 06:06",Vehicle,9,9,"2024-09-25 19:27:48",0,9
001000007462201201120240925192512000,3-170,0000074622012011,"2024-09-25 19:24","2024-09-25 19:24",Vehicle,2,2,"2024-09-25 19:26:17",0,2
002000007462317212820240925185500172,1-291,0000074623172128,"2024-09-25 18:50","2024-09-25 18:51",API,1,1,"2024-09-25 18:55:10",0,1
002000007462317212820240925185158976,1-291,0000074623172128,"2024-09-25 18:01","2024-09-25 18:02",API,1,1,"2024-09-25 18:52:06",0,1
001000007462313100420240925124527000,3-170,0000074623131004,"2024-09-24 18:28","2024-09-24 18:28",Vehicle,3112,3111,"2024-09-25 18:19:09",0,3112
001000007462310507420240924175032000,3-170,0000074623105074,"2024-09-24 17:12","2024-09-24 17:12",Vehicle,13717,13717,"2024-09-25 18:07:00",0,13717
001000007462319208320240923175138000,3-273,0000074623192083,"2024-09-23 10:20","2024-09-23 10:20",Vehicle,37,36,"2024-09-25 18:00:42",0,37
001000007462316109820240925160004000,3-170,0000074623161098,"2024-09-25 15:34","2024-09-25 15:34",Vehicle,11,10,"2024-09-25 16:12:25",0,11
001000007462328505320240925153838000,3-170,0000074623285053,"2024-09-25 15:38","2024-09-25 15:38",Vehicle,2,2,"2024-09-25 15:40:22",0,2
001000007462312101620240925153153000,3-170,0000074623121016,"2024-09-25 15:30","2024-09-25 15:30",Vehicle,2,2,"2024-09-25 15:34:50",0,2
002000007462316215220240925123555470,3-170,0000074623162152,"2024-09-25 12:34","2024-09-25 12:35",API_OFFLINE,0,0,"2024-09-25 13:41:24",1,0
002000007462328508120240925122221006,3-170,0000074623285081,"2024-09-25 12:21","2024-09-25 12:22",API,1,0,"2024-09-25 12:22:26",0,0
002000007462316102720240925121959185,3-170,0000074623161027,"2024-09-25 12:18","2024-09-25 12:19",API,1,1,"2024-09-25 12:20:05",0,1
