request,dvr,file,status,timestamp,upload_timestamp,original_size,converted_size,format
001000007462310507420240924135229000,0000074623105074,2024_09_24_12_46_20_0000074623105074.h264,completed,"2024-09-24 13:53:26","2024-09-24 13:54:00.576921+00:00",10,13,h264
001000007462316538120240924134415000,0000074623165381,2024_09_24_13_43_55_0000074623165381.ts,pending,"2024-09-24 13:49:01",NULL,0,0,ts
001000007462316538120240924134415000,0000074623165381,2024_09_24_13_42_56_0000074623165381.ts,completed,"2024-09-24 13:45:13","2024-09-24 13:46:03.162636+00:00",4,16,ts
001000007462316538120240924134119000,0000074623165381,2024_09_24_13_40_57_0000074623165381.ts,completed,"2024-09-24 13:43:20","2024-09-24 13:44:14.013769+00:00",4,14,ts
001000007462316538120240924134119000,0000074623165381,2024_09_24_13_39_58_0000074623165381.ts,completed,"2024-09-24 13:42:15","2024-09-24 13:43:11.045651+00:00",4,15,ts
001000007462316110420240923223131000,0000074623161104,2024_09_23_14_01_56_0000074623161104.ts,completed,"2024-09-24 13:00:49","2024-09-24 13:01:35.763254+00:00",4,14,ts
001000007462316110420240923223131000,0000074623161104,2024_09_23_14_00_56_0000074623161104.ts,completed,"2024-09-24 13:00:13","2024-09-24 13:01:14.737608+00:00",4,17,ts
001000007462319208320240923175138000,0000074623192083,1971_01_01_00_00_14_0000074623192083_NV.ts,pending,"2024-09-24 12:20:58",NULL,0,0,ts
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_44_20_0000074623105074.h264,completed,"2024-09-24 12:14:18","2024-09-24 12:14:41.700531+00:00",5,6,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_43_20_0000074623105074.h264,completed,"2024-09-24 12:13:22","2024-09-24 12:14:03.415594+00:00",5,7,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_42_20_0000074623105074.h264,completed,"2024-09-24 12:12:06","2024-09-24 12:12:57.897770+00:00",6,8,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_41_20_0000074623105074.h264,completed,"2024-09-24 12:11:27","2024-09-24 12:11:59.496186+00:00",3,6,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_40_20_0000074623105074.h264,completed,"2024-09-24 12:10:59","2024-09-24 12:11:22.900403+00:00",3,6,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_40_20_0000074623105074.h264,completed,"2024-09-24 12:10:52","2024-09-24 12:11:22.900403+00:00",3,6,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_39_20_0000074623105074.h264,completed,"2024-09-24 12:10:18","2024-09-24 12:10:47.973805+00:00",5,9,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_38_20_0000074623105074.h264,completed,"2024-09-24 12:09:22","2024-09-24 12:10:01.580000+00:00",5,8,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_37_20_0000074623105074.h264,completed,"2024-09-24 12:08:33","2024-09-24 12:09:15.494598+00:00",6,9,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_36_20_0000074623105074.h264,completed,"2024-09-24 12:07:35","2024-09-24 12:08:22.615614+00:00",6,10,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_35_19_0000074623105074.h264,completed,"2024-09-24 12:06:45","2024-09-24 12:07:17.111732+00:00",6,10,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_35_19_0000074623105074.h264,completed,"2024-09-24 12:06:25","2024-09-24 12:07:17.111732+00:00",6,10,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_34_20_0000074623105074.h264,completed,"2024-09-24 12:05:42","2024-09-24 12:06:18.192553+00:00",8,12,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_34_20_0000074623105074.h264,completed,"2024-09-24 12:05:31","2024-09-24 12:06:18.192553+00:00",8,12,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_33_20_0000074623105074.h264,completed,"2024-09-24 12:04:50","2024-09-24 12:05:25.116798+00:00",9,12,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_32_20_0000074623105074.h264,completed,"2024-09-24 12:04:00","2024-09-24 12:04:37.111071+00:00",10,14,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_32_20_0000074623105074.h264,completed,"2024-09-24 12:03:47","2024-09-24 12:04:37.111071+00:00",10,14,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_31_20_0000074623105074.h264,completed,"2024-09-24 12:03:02","2024-09-24 12:03:35.514820+00:00",9,12,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_30_20_0000074623105074.h264,completed,"2024-09-24 12:02:11","2024-09-24 12:02:52.418361+00:00",12,16,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_29_20_0000074623105074.h264,completed,"2024-09-24 12:01:17","2024-09-24 12:01:54.525973+00:00",10,13,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_28_20_0000074623105074.h264,completed,"2024-09-24 12:00:30","2024-09-24 12:01:07.537766+00:00",10,13,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_27_20_0000074623105074.h264,completed,"2024-09-24 11:59:49","2024-09-24 12:00:22.195955+00:00",9,13,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_26_20_0000074623105074.h264,completed,"2024-09-24 11:59:02","2024-09-24 11:59:36.617158+00:00",9,13,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_25_20_0000074623105074.h264,completed,"2024-09-24 11:58:08","2024-09-24 11:58:38.110120+00:00",7,10,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_24_20_0000074623105074.h264,completed,"2024-09-24 11:57:09","2024-09-24 11:57:51.181158+00:00",8,12,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_23_20_0000074623105074.h264,completed,"2024-09-24 11:56:34","2024-09-24 11:57:06.110254+00:00",6,10,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_23_20_0000074623105074.h264,completed,"2024-09-24 11:56:15","2024-09-24 11:57:06.110254+00:00",6,10,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_22_20_0000074623105074.h264,completed,"2024-09-24 11:55:45","2024-09-24 11:56:16.802885+00:00",8,12,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_21_19_0000074623105074.h264,completed,"2024-09-24 11:55:01","2024-09-24 11:55:19.532225+00:00",3,4,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_20_20_0000074623105074.h264,completed,"2024-09-24 11:54:32","2024-09-24 11:54:51.416419+00:00",3,5,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_19_20_0000074623105074.h264,completed,"2024-09-24 11:53:55","2024-09-24 11:54:34.413478+00:00",11,15,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_18_19_0000074623105074.h264,completed,"2024-09-24 11:52:55","2024-09-24 11:53:34.984677+00:00",11,15,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_17_20_0000074623105074.h264,completed,"2024-09-24 11:51:53","2024-09-24 11:52:30.922897+00:00",12,15,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_16_19_0000074623105074.h264,completed,"2024-09-24 11:50:57","2024-09-24 11:51:40.250251+00:00",11,15,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_15_20_0000074623105074.h264,completed,"2024-09-24 11:50:03","2024-09-24 11:50:38.450357+00:00",11,14,h264
002000007462317331520240923185742841,0000074623173315,2024_09_21_07_44_09_0000074623173315.ts,completed,"2024-09-24 11:46:00","2024-09-24 11:46:52.367810+00:00",1,4,ts
002000007462317331520240923185742841,0000074623173315,2024_09_21_07_43_09_0000074623173315.ts,completed,"2024-09-24 11:45:02","2024-09-24 11:46:00.770201+00:00",2,8,ts
002000007462317331520240923185742841,0000074623173315,2024_09_21_07_43_09_0000074623173315.ts,completed,"2024-09-24 11:44:53","2024-09-24 11:46:00.770201+00:00",2,8,ts
002000007462317331520240923185742841,0000074623173315,2024_09_21_07_42_09_0000074623173315.ts,completed,"2024-09-24 11:43:53","2024-09-24 11:44:43.178917+00:00",1,5,ts
001000007462323304720240924060522000,0000074623233047,2024_09_24_06_05_02_0000074623233047.ts,completed,"2024-09-24 06:07:08","2024-09-24 06:08:04.333525+00:00",1,3,ts
001000007462323304720240924060522000,0000074623233047,2024_09_24_06_04_02_0000074623233047.ts,completed,"2024-09-24 06:06:16","2024-09-24 06:07:02.333720+00:00",1,3,ts
001000007462323304720240924060522000,0000074623233047,2024_09_24_06_04_02_0000074623233047.ts,completed,"2024-09-24 06:06:10","2024-09-24 06:07:02.333720+00:00",1,3,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_56_56_0000074623192109.ts,completed,"2024-09-24 03:57:59","2024-09-24 03:58:47.865381+00:00",2,3,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_55_57_0000074623192109.ts,completed,"2024-09-24 03:56:59","2024-09-24 03:57:48.665853+00:00",2,3,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_54_57_0000074623192109.ts,completed,"2024-09-24 03:56:23","2024-09-24 03:57:08.931327+00:00",1,1,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_53_58_0000074623192109.ts,completed,"2024-09-24 03:56:16","2024-09-24 03:57:00.058809+00:00",1,1,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_52_59_0000074623192109.ts,completed,"2024-09-24 03:56:08","2024-09-24 03:56:52.804681+00:00",1,1,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_51_59_0000074623192109.ts,completed,"2024-09-24 03:56:02","2024-09-24 03:56:50.375805+00:00",1,2,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_51_00_0000074623192109.ts,completed,"2024-09-24 03:55:54","2024-09-24 03:56:41.994922+00:00",1,2,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_50_01_0000074623192109.ts,completed,"2024-09-24 03:55:47","2024-09-24 03:56:35.145357+00:00",1,2,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_49_01_0000074623192109.ts,completed,"2024-09-24 03:55:40","2024-09-24 03:56:49.912083+00:00",2,4,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_48_03_0000074623192109.ts,completed,"2024-09-24 03:55:27","2024-09-24 03:56:24.922354+00:00",2,4,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_47_04_0000074623192109.ts,completed,"2024-09-24 03:55:19","2024-09-24 03:56:15.943193+00:00",2,5,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_46_04_0000074623192109.ts,completed,"2024-09-24 03:55:11","2024-09-24 03:55:58.720583+00:00",1,2,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_45_05_0000074623192109.ts,completed,"2024-09-24 03:55:04","2024-09-24 03:55:51.315049+00:00",1,2,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_44_05_0000074623192109.ts,completed,"2024-09-24 03:54:57","2024-09-24 03:55:48.168948+00:00",2,3,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_43_06_0000074623192109.ts,completed,"2024-09-24 03:54:49","2024-09-24 03:56:00.330162+00:00",5,11,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_42_07_0000074623192109.ts,completed,"2024-09-24 03:54:42","2024-09-24 03:56:14.889259+00:00",4,9,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_41_07_0000074623192109.ts,completed,"2024-09-24 03:54:27","2024-09-24 03:56:05.872429+00:00",7,18,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_40_08_0000074623192109.ts,completed,"2024-09-24 03:54:19","2024-09-24 03:55:32.327762+00:00",4,11,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_39_09_0000074623192109.ts,completed,"2024-09-24 03:54:12","2024-09-24 03:55:14.262148+00:00",3,7,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_38_09_0000074623192109.ts,completed,"2024-09-24 03:54:04","2024-09-24 03:55:02.897647+00:00",3,6,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_37_10_0000074623192109.ts,completed,"2024-09-24 03:53:56","2024-09-24 03:55:31.830267+00:00",3,9,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_36_11_0000074623192109.ts,completed,"2024-09-24 03:53:48","2024-09-24 03:54:58.558177+00:00",4,10,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_35_11_0000074623192109.ts,completed,"2024-09-24 03:53:35","2024-09-24 03:54:50.649324+00:00",3,10,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_34_12_0000074623192109.ts,completed,"2024-09-24 03:53:17","2024-09-24 03:54:21.828244+00:00",2,4,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_33_12_0000074623192109.ts,completed,"2024-09-24 03:53:05","2024-09-24 03:54:10.103405+00:00",2,6,ts
001000007462319210920240924035252000,0000074623192109,2024_09_24_03_32_14_0000074623192109.ts,completed,"2024-09-24 03:52:55","2024-09-24 03:54:00.686468+00:00",3,7,ts
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_14_19_0000074623105074.h264,pending,"2024-09-24 00:44:36",NULL,0,0,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_13_19_0000074623105074.h264,pending,"2024-09-24 00:43:53",NULL,0,0,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_12_19_0000074623105074.h264,pending,"2024-09-24 00:43:11",NULL,0,0,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_11_19_0000074623105074.h264,pending,"2024-09-24 00:42:28",NULL,0,0,h264
001000007462310507420240923233037000,0000074623105074,2024_09_24_00_10_19_0000074623105074.h264,pending,"2024-09-24 00:41:48",NULL,0,0,h264
